paper_id,tag,accuracy,cohen_kappa,krippendorff_alpha,macro_f1,precision_0,recall_0,f1_0,precision_0.5,recall_0.5,f1_0.5,precision_1,recall_1,f1_1,precision_nan,recall_nan,f1_nan
4,uninformative,0.8645833333333334,0.6395147313691507,0.6353542731921111,0.5539980885632367,0.8589743589743589,0.9852941176470589,0.9178082191780822,0.0,0.0,0.0,0.8888888888888888,0.64,0.7441860465116279,,,
4,SDB,0.875,0.7516170763260026,0.7498914459400782,0.874945722970039,0.9555555555555556,0.8113207547169812,0.8775510204081632,,,,0.803921568627451,0.9534883720930233,0.8723404255319149,,,
4,overest_others,0.9375,0.803680981595092,0.8031442241968558,0.9015721120984279,0.9367088607594937,0.9866666666666667,0.961038961038961,,,,0.9411764705882353,0.7619047619047619,0.8421052631578947,,,
4,underest_own,0.8333333333333334,0.2090628218331616,0.1786096256684494,0.5893048128342246,0.9746835443037974,0.8461538461538461,0.9058823529411765,,,,0.17647058823529413,0.6,0.2727272727272727,,,
4,academic_integrity,0.9166666666666666,0.7149220489977728,0.7140729709605362,0.857036485480268,0.974025974025974,0.9259259259259259,0.9493670886075949,,,,0.6842105263157895,0.8666666666666667,0.7647058823529411,,,
4,info_asymmetry,0.9270833333333334,0.8041958041958042,0.8027879677182685,0.9013939838591343,1.0,0.9078947368421053,0.9517241379310345,,,,0.7407407407407407,1.0,0.851063829787234,,,
4,AI_discussion_priming,0.96875,0.7831325301204819,0.7830508474576271,0.8915254237288136,0.9775280898876404,0.9886363636363636,0.9830508474576272,,,,0.8571428571428571,0.75,0.8,,,
4,privacy_concerns,0.65625,0.08093994778067881,-0.07993863985000838,0.43333333333333335,1.0,0.6666666666666666,0.8,,,,1.0,0.3333333333333333,0.5,0.0,0.0,0.0
4,self_esteem,0.8958333333333334,0.34156378600823045,0.3181818181818187,0.6590909090909092,1.0,0.8924731182795699,0.9431818181818182,,,,0.23076923076923078,1.0,0.375,,,
4,self_report_bias,0.4479166666666667,0.004305283757338629,-0.24767042667974515,0.20772946859903382,1.0,0.45263157894736844,0.6231884057971014,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,network_effect,0.96875,0.38983050847457634,0.38395721925133575,0.6919786096256685,1.0,0.968421052631579,0.983957219251337,,,,0.25,1.0,0.4,,,
4,truthful,0.9583333333333334,0.4838709677419355,0.4782608695652163,0.7391304347826086,1.0,0.9574468085106383,0.9782608695652174,,,,0.3333333333333333,1.0,0.5,,,
