paper_id,tag,accuracy,cohen_kappa,krippendorff_alpha,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_0.5,recall_0.5,f1_0.5
1,any_suggestion,0.8872180451127819,-0.059479553903345694,-0.059760956175300084,0.4701195219123506,0.0,0.0,0.0,0.9365079365079365,0.944,0.9402390438247012,,,
1,suggest_safe,0.45864661654135336,0.020458265139116194,-0.11038961038961026,0.44480519480519476,0.40594059405940597,0.7735849056603774,0.5324675324675324,0.625,0.25,0.35714285714285715,,,
1,suggest_efficient,0.5413533834586466,0.0980544747081713,0.0655917074575294,0.5327958537287648,0.6,0.38571428571428573,0.46956521739130436,0.5113636363636364,0.7142857142857143,0.5960264900662252,,,
1,agree_proposal,0.6766917293233082,-0.04762777065396606,-0.11124064898474684,0.4443796755076265,0.18181818181818182,0.05555555555555555,0.0851063829787234,0.7213114754098361,0.9072164948453608,0.8036529680365296,,,
1,discuss_fairness,0.46616541353383456,0.06217101996226049,-0.09363599513579257,0.29522653721682846,0.6666666666666666,0.20253164556962025,0.3106796116504854,0.4339622641509434,0.8518518518518519,0.575,0.0,0.0,0.0
1,discuss_efficient,0.47368421052631576,0.04040404040404033,-0.019547719432732702,0.3202028541101545,0.627906976744186,0.34177215189873417,0.4426229508196721,0.4235294117647059,0.6666666666666666,0.5179856115107914,0.0,0.0,0.0
1,discuss_rules,0.8571428571428571,-0.06579502319696329,-0.07692307692307665,0.46153846153846156,0.8976377952755905,0.95,0.9230769230769231,0.0,0.0,0.0,,,
1,explanation,0.40601503759398494,-0.02198229744188307,-0.20610687022900787,0.26130018743217914,0.7755102040816326,0.3584905660377358,0.49032258064516127,0.1951219512195122,0.5925925925925926,0.29357798165137616,0.0,0.0,0.0
1,discuss_howtoplay,0.8872180451127819,-0.05723370429252772,-0.059760956175300084,0.4701195219123506,0.9291338582677166,0.9516129032258065,0.9402390438247012,0.0,0.0,0.0,,,
1,ask_game,0.6541353383458647,0.09134115550274768,0.03721771972617838,0.3456016286295939,0.8977272727272727,0.6810344827586207,0.7745098039215687,0.18181818181818182,0.47058823529411764,0.26229508196721313,0.0,0.0,0.0
1,receive_report,0.5413533834586466,0.16951581533422055,0.08270676691729328,0.5413533834586466,0.8,0.4090909090909091,0.5413533834586466,0.4090909090909091,0.8,0.5413533834586466,,,
1,truthful,0.556390977443609,0.1823486506199855,0.11197872460815939,0.5559893623040797,0.7959183673469388,0.4431818181818182,0.5693430656934306,0.4166666666666667,0.7777777777777778,0.5426356589147286,,,
1,falsehood,0.9924812030075187,0.0,-0.0037735849056586,0.4981132075471698,1.0,0.9924812030075187,0.9962264150943396,0.0,0.0,0.0,,,
1,contradict,0.9774436090225563,0.0,-0.011406844106463643,0.49429657794676807,1.0,0.9774436090225563,0.9885931558935361,0.0,0.0,0.0,,,
1,neither_report,0.5413533834586466,0.16951581533422055,0.08270676691729328,0.5413533834586466,0.4090909090909091,0.8,0.5413533834586466,0.8,0.4090909090909091,0.5413533834586466,,,
