paper_id,tag,accuracy,macro_f1,precision_f,recall_f,f1_f,precision_f?,recall_f?,f1_f?,precision_t,recall_t,f1_t,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true
4,uninformative,0.7083333333333334,0.501174536058257,0.8688524590163934,0.7794117647058824,0.8217054263565892,0.0,0.0,0.0,0.7894736842105263,0.6,0.6818181818181818,,,,,,
4,SDB,0.5416666666666666,0.5398692810457516,,,,,,,,,,0.5918367346938775,0.5471698113207547,0.5686274509803921,0.48936170212765956,0.5348837209302325,0.5111111111111111
4,overest. others,0.6458333333333334,0.4819047619047619,,,,,,,,,,0.7733333333333333,0.7733333333333333,0.7733333333333333,0.19047619047619047,0.19047619047619047,0.19047619047619047
4,underest. own,0.78125,0.517125748502994,,,,,,,,,,0.9605263157894737,0.8021978021978022,0.874251497005988,0.1,0.4,0.16
4,academic integrity,0.7291666666666666,0.4864197530864197,,,,,,,,,,0.8395061728395061,0.8395061728395061,0.8395061728395061,0.13333333333333333,0.13333333333333333,0.13333333333333333
4,info asymmetry,0.65625,0.5351430667644901,,,,,,,,,,0.8115942028985508,0.7368421052631579,0.7724137931034483,0.25925925925925924,0.35,0.2978723404255319
4,privacy concerns,0.9583333333333334,0.48936170212765956,,,,,,,,,,0.968421052631579,0.989247311827957,0.9787234042553191,0.0,0.0,0.0
4,self-report bias,0.6458333333333334,0.3924050632911392,,,,,,,,,,0.9841269841269841,0.6526315789473685,0.7848101265822784,0.0,0.0,0.0
4,network effect,0.9583333333333334,0.48936170212765956,,,,,,,,,,0.989247311827957,0.968421052631579,0.9787234042553191,0.0,0.0,0.0
4,truthful,0.9583333333333334,0.48936170212765956,,,,,,,,,,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.0,0.0,0.0
