any_suggestion,suggest_safe,suggest_efficient,agree_proposal,discuss_coordinate,discuss_fairness,discuss_efficient,discuss_rules,explanation,discuss_howtoplay,ask_game,receive_report,truthful,falsehood,contradict,neither_report,original_message,row_id
1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,"1; f3 / 2; pero son 54 y 26 / 2; que es lo mismo si elegimos 40 / 2; son 80 / 2; decidamos / 1; ha habido un momento que yo he ganado 50 y tu 26 y luego te ha tocado lo mismo y has cogido tu 50 y yo 26 tb / 1; lo que quieras / 2; vale / 2; el a se estara aburriendo maximo / 2; jajajaja / 1; jajajaj ademas de verdad / 1; pero y lo que va a ganar? / 1; no 3 como tu antes / 2; c1 y f1 / 1; yo creo que f3 / 2; claro , o ganas tu más o ganamos igual XD / 1; cuando toque juego 1 ponemos f1 y c1 y compensa / 2; pero no sabes cuando va a salir / 2; esa esa / 2; ganamos todos / 2; el A mas / 0; c3 f3 / 1; vale / 1; sii esa / 1; C3 F3 / 1; lo he mirado ahora / 1; c3 f3? / 1; pero lo que quieras / 0; c2 f2 / 1; me da igual / 2; vale va / 2; pues esa / 1; va / 2; que asi comenso un poco / 2; que en la ronda una tengo 8 puntos y 10 / 1; valee / 2; que vais a escoger",0
1,0,1,1,1,1,1,0.5,1,0,1,1,1,0,0,0,"1; HOLA / 2; hola / 1; z / 1; Y TU? / 2; c2 / 2; bien? / 1; perfecto / 2; hoola / 2; el bloque 1 / 1; hola / 1; c1? / 1; c4f4 / 2; entonces gano yo ahora 50? / 1; ? / 2; correee / 1; la siguiente / 1; mira / 1; fijate / 2; yaa / 1; ahora si, ve a por el de 50 / 2; peeerf / 1; se pensaban que habíamos hecho trampas jaja que susto tú / 2; que? / 2; eeeh / 2; ya lo he pillado / 1; jajaj que pasa? / 2; tenemos que coger el que sume 80 siempre / 2; o si no sale / 1; quedan 7 rondas / 2; antes has ganado tu , ahora quiero ganar yo / 1; no querias ganar? / 2; c3 y f3 / 1; f3 c3? / 0; perfecto / 1; esa esa / 2; asi asi juego en equipo / 2; buah te vas a forrar A / 2; vale va c3 f3 sui no hay mejor / 1; por eso / 0; cual / 2; por 3 puntos me da igual / 2; c4 c4 / 0; c4 f4 entonces / 1; 4 4 / 1; columna 4 fila 4 / 2; yo solo tengo tres filas / 0; que juego vas a escoger? / 1; 4 / 1; el juego es el 4 por defecto / 0; vale / 1; la columna 4 y la fila 4 es el que mas nos beneficia / 0; que vais a marcar? / 1; el juego es el 2",1
1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,"1; di tu primero / 2; c1 / 1; f1 / 2; vale bien / 1; mejor la f5 / 2; ya estaba decidido jajaj / 2; si / 1; f3 / 2; ganas mas con el f1 / 1; c3-f2 esta bien / 2; uuuf / 2; que miedo / 2; jajajajja / 1; en el bloque c5 / 2; ajajaja / 1; por? / 2; un poco tarde ya / 2; porque es la suma mas alta / 1; entonces que / 2; ahora ya no, no? / 1; me da uq eno / 1; iguales? / 2; okey , estamos deacuerdo / 1; menosmal :P / 2; c1 / 1; f1 / 1; mira tengo una teoria / 2; iluminame / 1; en el juego 1 f1 c1 ganas tu / 1; juego dos f2 c2 ganas mas tu / 2; jajaja / 2; BUENA / 0; bien jugada / 1; vamos / 0; sigamos / 1; pues esa / 0; por ahira c3 f3 / 1; si / 2; leugo hacemos una / 2; esque hacer eso compensa si luego lo hacemos al reves / 2; si / 1; vale pues ya estmos iguales / 2; tenemos q ir haciendo eso q se va turnando / 1; columna4 fila 4 / 0; valeç / 0; siempre lo mismo? / 1; no / 1; mira las variantes / 1; hay que ver que nos sume el maximo de puntos a cada uno / 1; para poder tener mas ganancias / 0; vale ya lo entiendo / 1; en las casillas que haya negativo no le des / 1; porque nos afecta y perdemos dinero / 1; el juego es el 5 / 2; fila 4 / 1; columna 4 fila 4 / 2; si / 0; si / 1; ganamos todos",2
1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,"2; qué mal xd / 2; c3 y f3? / 1; jaja esque el A se nos desmadra / 1; f5 / 2; c3 y f3 ganamos mas / 1; vañe / 1; vale* / 2; ok / 1; vamos bien, no? / 2; si jajaj / 2; es mejor el c2 f2 / 1; c3-f3 / 2; para ambos / 2; vale c3 f3 / 1; f3-c3 / 1; son 32 / 2; no sabia a cual le ibas a dar / 1; en el bloque c5f5 de cualquier juego gano yo y en ese mismo juego, en c1-f1 ganas tu / 2; se / 2; iguales? / 1; perfecto / 1; peroq / 1; que sentido tiene / 1; juego 3 empate / 1; f3 c3 / 1; juego cuatro f4c4 gano yo / 1; juego cinco f5c5 gano yo / 1; f3 c3 buen / 1; el A ganas mucho / 1; o cual? / 2; esa / 1; el A se foora / 1; forra / 2; de 50 -30-80 y al reves / 2; encima el A gana un poco mas tambn / 1; ya / 2; la siguiente tu o yo depende / 1; pero si hay de iguales siempre renta tb / 2; c3 f3 / 1; el juego es el 3 / 2; filas4 / 2; no / 1; columna 4 fila 4 / 2; fila 3 / 0; 3 / 0; fila 3 / 2; c / 2; columna 3 / 0; si",3
1,1,1,1,0,1,1,0,0.5,0,1,1,1,0,0,0,"1; como antes? c3 f3? / 2; me parece bien / 1; el F siempre recibe menos / 1; o sino cual? / 2; recibimos lo mismo en esta / 1; ya, ya / 2; 32 cad uno / 2; que antes he perdido 18 xd / 1; jajajajajaja porq estabais despuntando / 2; sii / 1; para ambos / 1; c3-f3 jajajaja siempre el mismo pero son 40 / 1; lo mismo / 1; miralo / 1; a ver si lo entiendes / 2; c5f5? ganas otra vez mas / 2; el que? / 1; tener que ganar 80? si esos 80 no van para ti / 2; ya, pero es como mas ganas / 2; y si nos turnabamos / 2; no? / 2; no se, da igual, ya se ha acabado / 2; jajaja / 1; jajaja pues eso / 2; cuanto habremos ganado? / 1; poquito / 2; ajajajajaja oke / 2; okey / 2; aceptamos barco / 1; y es lo mismo solo dependemos del azar de las rondas que sangan / 1; salgan / 2; por mi esa / 0; f3 c3 / 1; pues esa / 0; defnitiva f3 c3 / 1; probemos mas por si acaso / 0; vale / 2; vale? / 0; cual / 0; el que me digais / 2; spera / 1; f2 c2? / 1; no / 1; espera / 1; c3 f3 / 2; jajajaja / 1; ole jajaj / 0; vale / 0; jajajjajaj / 2; ya me lo se hasta de memoria / 1; este si renta / 2; si / 1; fila 3 columna3 / 1; el juego es el 5 / 0; que juego es / 0; 4 4? / 1; columna 5 fila 5 / 2; fila 2 c 2 / 0; la 5-5 / 1; el 2 2 es menos puntos / 1; 5-5 o 4-4",4
1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,"2; di fila jaja / 1; bua no se / 1; columna? / 2; c3 f3? / 2; otra vez xd / 1; vale / 1; aunque a la siguiente hay que quitarle al A / 2; jajaja sii / 2; igual hay un truco / 1; seguramente / 1; lo único que quien sea A, se lleva nuestra suma / 2; ya, la goza / 2; jajaja / 2; y no hace nada / 1; totalmente jajajaj c3-f3 siempre va a ser la misma cantidad / 2; seguimos igual n? / 1; mira el juego tres, mira f5-c5 y mira f1-c1 / 1; es el mismo dineor lo que pasa que una vez gana uno y otra otro, entiendes? / 1; pero que sino gana esta tu mas / 1; y vamos todas a lo mismo / 2; entonces que propones? / 1; lo que digas / 1; por 0.02 ujajajaj / 2; pues vaya / 2; Hola / 1; hola / 2; Que vas a seleccionar ? / 1; te parece bien f3 / 1; y c3 / 1; ganamos lo maximo / 2; si / 2; en cualquier caso , compensamos / 1; si a eso me referia antes / 1; f5c5? / 2; okey / 1; pero sino esa / 2; a ver podemos pillar / 0; venga / 2; escucharme / 2; f / 0; va / 2; podemos hacer una cosa / 1; si / 2; nos turmamos / 2; porque anbtes / 2; c4 c4 / 2; ganas tu mas / 2; pero luego yo va / 2; vale? / 1; no hay ninguno que ggganemos igual? / 2; c4 c4 mejor y au / 2; este renta / 0; nos sobra tiempo / 2; esque es la q mas ganamos todos / 1; si / 0; jjajajajaja / 1; vpy a ver / 2; la proxima a ver como esta el tema / 1; en los demas / 2; 42464 / 2; porque siempre me toca a mi menos / 2; asi se iguala mas / 1; mejor / 0; vale",5
1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,"1; le vamos a quitar a A? / 2; si le quitamos a A / 2; tambien perdemos nosotros jajaj / 1; ya.. / 1; que ponemos? / 2; c2 f2 o c3 f3? / 1; y xq no c4, f4? / 2; c3f3 / 2; se acaba ek tiempo xd / 2; no?* / 1; sii, son 32, no esta mal / 1; si vemos que en alguna de c3-f3 la cantidad es peque, podemos mirar otra cosa / 2; en verdad te la puedo jugar y elegir otra / 2; o tu / 2; jaajja / 1; solo nos llevamos 6 puntos de diferencia entre nosotros / 1; ya ves / 1; gana si quieres esta tu mas me da igual / 1; jajajaj pero diii / 2; vale / 2; c1f1 / 1; oki / 1; me llevas unos 20 puntos más tu / 1; en esta podemos ir igual / 2; vale / 2; pero de que juego de los 5 ? / 1; el 4 / 1; han selecccionado ellos / 1; lo pone arriba / 2; okey / 2; es verdad / 2; Hola / 2; o c3 f3 ? / 1; f5c5 / 1; que acabamos de hacer f1c1 / 2; asi ganamos lo mismo , realmente la idea es llevarnos el máximo de dinero / 1; f3c3? / 2; okey / 1; a ver yo lo que digo es que si en lugar de llevarnos 30 y 30 dos veces que son 60 te llevas en una ronda 26 y otra 54 al final suman mas / 2; interesante .... / 1; aunque en la anterior hayas tenido que sacar 3 o 6 menos porque la otra persona saca 10 veces mas / 2; si , tienes razón sr. F / 1; esa es mi teoría.. / 1; dome / 2; habia una de 80-26.80 / 2; pero luego gano un poco mas yo / 1; c3 f3 / 1; ganampos 36 los dos / 1; mejor / 2; a ver por 3 puntos / 2; me da iguyal / 2; sabes / 0; c3 y f3 entonces / 2; c4 c4 si quieres / 0; uy / 0; se acaba / 0; jajajajajajaja / 1; cuales son mejor / 1; adelantando / 2; no me acuerdo pero siempre pomgo / 2; c2 c2 / 0; 42464 / 0; i la 3-3? / 1; el juego es el 1 / 1; 4-4? / 0; 2 2 / 2; 42432 / 1; 42432 / 0; vale / 1; el juego es el 5 / 1; 4-4? / 2; 42432 / 0; yo creo que 3-3 / 1; okay / 0; y 5-5? / 0; y luego ponemos una en la que el c gane mas",6
1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,"2; c2 f2? / 2; que antes he ganado menos que tu jajaj / 1; como? / 1; c3 f2? / 2; antes yo he ganado 18 y tu 29 / 2; f2 c2 ganamos mas que c3 f2 / 1; vale / 2; f2 c2 entonces? jajaj / 1; jajajajajaj no lo hagassss / 2; jajajaja / 2; la ultima lo hacemos / 1; okay / 1; 32-32, porque mi maximo aqqui son 38, asique da igual / 2; porque a ti no te sale rentable / 1; hola / 2; hacemos c2 / 2; fila f2 ? / 2; y ganamos los 2 lo máximo? / 1; fila 4 yo gano mas / 2; hola / 1; hola / 1; fila 4 / 1; sr c jajajaja / 2; f1 c1 / 1; f1c1 / 2; esto es pura suerte y probabilidad , si ya tenemos una estrategia de juego / 2; depende lo que salga / 1; exacto / 2; ya tenemos los resultados / 2; pillamos cada vez uno 70 puntos / 0; yo la que me digais / 1; vale / 0; va / 0; cual / 2; espera / 1; bueno pues esa / 2; c2 c2 / 2; ? / 2; y luego ganas mas tu lo q veas / 2; te dan 33 / 1; vale / 2; no esta mal / 1; pues ese y luego al reves / 2; si es el 2 / 2; si es el 4 / 2; c4 c4 / 2; mas o menos asi / 1; c3 f3 / 1; ? / 1; el juego es el 2 / 2; 2-2? / 1; 3-3? / 0; y si ponemos uno que gane mucho la f y luego en la siguiente que gane3 el c? / 1; podemos probar la tactica / 2; vale pero queda ests y otra / 0; probamos? / 1; poned / 1; 11 / 1; 42370 / 1; no / 0; vale / 1; 42402",7
1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,"2; la ultima xd / 1; pff / 1; que hacemos / 2; c3 f3? ni para ti ni para mi xd / 2; o que propones? / 1; c3 f4 jajaja / 1; que yo llevo menos / 2; no tio / 2; o tia xd / 2; llevo yo menos / 1; en total? / 1; yo creo que no / 2; yo diria que si / 1; que tu antes has ganado 15 mas que yo / 2; va c3 f3 / 1; y al principio tambien / 2; por que en la primera has elegido esa? / 1; no pillaba el juego / 2; grande jajaja / 2; claro / 1; no, en esta no / 1; las rentables son las de 50 jajaja / 2; pero mira, el la ronda dos y tres yo he ganado 71 y si hieramos dado las dos veces a 36 serian 72 / 1; lo se / 2; c4 / 1; o / 1; fila 5 / 1; para ti son 3 menos / 1; que la otra combinacion / 1; f5 c5? / 2; pero tu ganas mucho más , / 2; okey / 1; eso a ti no te resta / 1; ahora f3 / 1; aunque ojalá ser A / 1; nos duplica siempre jajajajaj / 2; si , quién se supone que es A ? / 2; otra persona que no hace nada durante toda la sesión? / 1; una persona que no hace nada / 2; XD / 1; exacto / 2; q estamos viendo / 1; c5 f5 / 2; c1 f2 / 1; y la proxima tu mas / 2; vale / 2; pero no dejamos a uno / 2; con menos de 30 / 2; vale? / 2; nono / 2; c1 c1 o c2 c2 / 2; q ganas un poco menos / 2; y luego comepnsa / 1; un poquito mejor / 2; y la proxima para la f / 0; vale / 1; perfecto / 0; 2-2 entonces? / 1; sii / 2; mas igual / 1; juego 2 / 0; 42464 / 1; 4-4? / 1; vale / 0; yo diria que si / 2; o 3-3",8
1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,"2; hola / 1; hola / 1; c3 f3? / 2; bien / 1; los hacemos de forma que ganemos siempre lo mismo nosotros? / 2; me parece lo más sensato jajaja / 1; Genial / 1; jaja sorry / 1; te parecen bien 32? / 1; no me he dado cuenta / 2; que lioooo / 1; y ganamos igual / 1; con c3 / 2; okey / 1; y tú ganas más que si cojo f4 o 5 / 2; tu vas a poner f3 no? / 1; sii / 2; y se lleva más que nosotros todo el rato .... / 1; y se lleva el doble que nosotros que estamos aquí calentandonos la cabeza / 2; es qu para que A pierda , tenemos que perder nosotros también / 2; c1 y f1 / 1; f1c1 / 2; A se va a llevar un sobre con un fajo de billetes XD / 2; jajajaja / 1; ya ves / 1; a la proxima me pido A / 1; realmente lo peor es C / 1; porque depende de F bastante / 2; por? / 2; los 2 dependemos de ambos / 1; o cual / 2; valre / 0; cual / 0; se acaba / 2; asi sale rentable / 1; vale / 2; si no no sale / 2; c2 c2? / 2; es x 3 puntos / 2; lo que he hecho antes / 1; pon la f / 1; vale / 1; que el A se va a liar jajaja / 0; pero es el que mas a la f / 2; vale / 1; es que la diferencia 3 3 es mas grande.. / 0; cual entonces? / 1; 4 4 / 0; vale / 1; juego 4 / 1; 42464 / 2; fila 3 - columna 3 / 1; ? / 2; para que este mas igual / 0; yo pondria 4-4 / 1; si / 0; y en la siguiente damos mas puntos al c / 1; y hacemos lo de abtes / 1; antes* / 0; en al 5-5 es donde mas puntos gana f / 1; si / 0; ponemos esa? / 2; vale",9
